nsites,Chemsys,material_id,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_atoms,formation_energy_per_atom,energy_above_hull
5,Ac-Cr-O,mp-866101,FM,2.9999997,0.048889514,0.59999994,-3.13897213,0
4,Ac-Au-Eu,mp-1006278,FM,7.4132046,0.066629116,1.85330115,-0.779867237,0
4,Ac-Eu-Zn,mp-1183124,FM,7.0232003,0.062250917,1.755800075,-0.261695902,0
5,Ac-Fe-O,mp-861502,FM,4.2542759,0.068842412,0.85085518,-2.771539466,0
5,Ac-Mn-O,mp-864911,FM,3.9999934,0.064265802,0.79999868,-2.973630023,0
5,Ac-O-V,mp-1183168,FM,2.0000001,0.032014696,0.40000002,-3.141069096,0
22,Ag-Au-F,mp-18125,FM,2,0.006393978,0.090909091,-1.20186779,0
10,Ag-Cl,mp-864635,FM,2.0219307,0.008811592,0.20219307,-0.499390825,0
28,Ag-F,mp-542298,FiM,0.0679971,0.000176644,0.002428468,-1.229926875,0
16,Ag-As-F,mp-2749579,FiM,0.0101774,4.56E-05,0.000636088,-1.625031354,0
22,Ag-F,mp-562412,FM,2,0.006796569,0.090909091,-1.198028183,0
62,Ag-F-Sb,mp-1195261,FM,1.999734,0.001958471,0.032253774,-2.392955917,0
15,Ag-Bi-F,mp-28965,FM,1,0.004522415,0.066666667,-1.78490915,0
12,Ag-F,mp-2284,AFM,0,0,0,-1.311622154,0
8,Ag-H-O,mp-996958,FM,1.2705787,0.011452048,0.158822338,-0.728314121,0
36,Ag-F-Ir,mp-662534,FM,8.9072618,0.015634149,0.247423939,-1.490580648,0
8,Ag-F-Pb,mp-1206101,FM,1,0.00823542,0.125,-1.748101063,0
16,Ag-F-Pd,mp-31215,FM,2,0.009509139,0.125,-1.384905933,0
16,Ag-F-Pt,mp-1214922,FM,1.9961707,0.009257172,0.124760669,-1.430022469,0
16,Ag-F-Rh,mp-1214934,FM,4.0000644,0.016771195,0.250004025,-1.706416654,0
16,Ag-F-Rh,mp-2017405,FM,3.9942541,0.01902455,0.249640881,-1.554154335,0
36,Ag-F-Ru,mp-17588,FM,12.6707363,0.024978833,0.351964897,-1.715751211,0
48,Ag-O-S,mp-1196324,FiM,0.0315529,5.12E-05,0.000657352,-1.370454791,0
12,Ag-O-S,mp-2763322,FM,1.8301223,0.011294619,0.152510192,-1.020516611,0
15,Ag-F-Sb,mp-14653,FM,1,0.004742214,0.066666667,-2.38751214,0
8,Ag-F-Sn,mp-10809,FM,0.9984891,0.008655295,0.124811138,-2.129888439,0
5,Al-B-Fe,mp-3805,FM,2.9910618,0.066186929,0.59821236,-0.401183194,0
13,Al-S-V,mp-2014966,FiM,1.0159224,0.004377361,0.078147877,-1.175917161,0
51,Al-Fe,mp-1202900,FiM,3.2949892,0.004602135,0.064607631,-0.326749755,0
4,Al-Co-Ir,mp-867319,FM,0.4028231,0.008023314,0.100705775,-0.835120558,0
4,Al-Co-Ni,mp-1228913,FM,0.7927797,0.017115727,0.198194925,-0.625177445,0
84,Al-Co-O,mp-532094,FiM,41.1373315,0.050077127,0.489730137,-2.885069808,0
4,Al-Fe-Ir,mp-866031,FM,0.0687533,0.001370978,0.017188325,-0.680795958,0
4,Al-Fe-Ni,mp-1228910,FM,0.0792378,0.001718199,0.01980945,-0.523616695,0
14,Al-Fe-O,mp-30084,FM,8.0000023,0.059622069,0.571428736,-2.903562503,0
28,Al-Ni-O,mp-37614,FM,8.0000001,0.030910282,0.285714289,-2.802741494,0
22,Al-Cl-V,mp-568443,FM,6.0000002,0.009935603,0.272727282,-1.670174717,0
12,Al-Ni-V,mp-1228540,FiM,0.7664291,0.005869652,0.063869092,-0.375922757,0
4,Al-Cr,mp-867780,FM,2.0923579,0.036054053,0.523089475,-0.15663264,0
8,Al-B-Cr,mp-637575,FiM,0.5735934,0.008350172,0.071699175,-0.362877286,0
4,Al-Cr-Ru,mp-862781,FiM,1.1216391,0.021406742,0.280409775,-0.368686193,0
2,Al-Fe,mp-2658,FM,0.7174963,0.031141616,0.35874815,-0.326887015,0
4,Al-Fe-Si,mp-867878,FM,0.432167,0.010121436,0.10804175,-0.444771827,0
4,Al-Fe-W,mp-862288,FiM,0.9543116,0.019369215,0.2385779,-0.208302922,0
4,Al-Fe,mp-1183162,FM,7.2070118,0.149521913,1.80175295,-0.198893175,0
5,Al-C-Fe,mp-22793,FM,5.8869668,0.108156141,1.17739336,-0.160212901,0
5,Al-Fe-H,mp-1206123,FM,7.321186,0.144588414,1.4642372,-0.205004722,0
4,Al-Co-Fe,mp-10884,FM,4.9954475,0.11053637,1.248861875,-0.358796625,0
4,Al-Fe-Rh,mp-861953,FM,4.5393375,0.085160243,1.134834375,-0.595923447,0
4,Al-Co-Ga,mp-1228893,FM,0.497553,0.010896042,0.12438825,-0.37752744,0
8,Al-Ga-Ni,mp-1228918,FM,1.8644156,0.021168769,0.23305195,-0.353029683,0
4,Al-Ni,mp-2593,FM,0.9176515,0.020985514,0.229412875,-0.426419777,0
8,Al-Ge-Ni,mp-1228832,FM,1.2885205,0.014670905,0.161065063,-0.33687196,0
63,Ba-O-Ti,mp-531527,FM,6.1275519,0.008028974,0.097262729,-3.480469158,0
57,Ba-Fe-O,mp-757712,FM,53.997296,0.065422806,0.947320982,-2.226388044,0
34,Ba-Ir-O,mp-17102,FM,2.1286669,0.004109453,0.06260785,-2.146047898,0
22,Ba-Ir-O,mp-754684,FM,1.9990989,0.005122873,0.090868132,-2.48381873,0
34,Ba-Mn-O,mp-18791,FM,18.0000009,0.037286612,0.529411791,-2.546114706,0
34,Ba-O-Ru,mp-17304,FM,7.9904992,0.015714824,0.235014682,-2.290307376,0
46,Ba-Cl-Sm,mp-1196927,FM,2,0.001540972,0.043478261,-2.791656683,0
22,Ba-Se-U,mp-1190418,FM,4.0000002,0.005357064,0.181818191,-2.078871373,0
34,Ba-O-Ru,mp-28908,FM,12.0000001,0.021403272,0.352941179,-2.441765697,0
42,Ba-Cr-O,mp-1200170,AFM,0.1798497,0.000231772,0.004282136,-2.613974982,0
48,Ba-Mn-O,mp-759718,FM,34.0000011,0.051060753,0.708333356,-2.492107005,0
48,Ba-O-Re,mp-698206,FM,2.0089327,0.002373252,0.041852765,-2.685463897,0
48,Ba-O-V,mp-1183410,FiM,11.9791499,0.016438111,0.249565623,-2.859597998,0
51,Ba-Cu-F,mp-15387,FM,10.9999998,0.015932618,0.215686271,-2.659405699,0
49,Ba-Cl-Eu,mp-1198571,FM,44.9983397,0.031791089,0.918333463,-2.779672288,0
37,Ba-Mn-O,mp-694888,FM,29.9999256,0.056259683,0.8108088,-2.492860231,0
82,Ba-O-Rh,mp-554262,FM,8.1496585,0.006327804,0.099386079,-2.107541307,0
88,Ba-O-Rh,mp-772389,FM,0.002362,1.78E-06,0.0000268,-1.998509768,0
49,Ba-Cl-Sm,mp-567646,FM,1.6959387,0.001213183,0.034610994,-2.803181429,0
12,Ba-Ce-I,mp-569380,FM,2.7972617,0.005522771,0.233105142,-1.79388164,0
60,Ba-Co-N,mp-505765,FiM,8.2721827,0.006552733,0.137869712,-0.520945156,0
12,Ba-Co-O,mp-19086,FM,9,0.044442297,0.75,-2.074947819,0
20,Ba-Co-O,mp-18965,FM,3.9988418,0.015178743,0.19994209,-2.047858012,0
28,Ba-Cr-O,mp-541137,FM,23.9999982,0.062741071,0.857142793,-2.603035795,0
28,Ba-Cr-F,mp-541031,FM,11.9999999,0.030705571,0.428571425,-3.576210749,0
8,Ba-Cr-F,mp-559246,FM,1.9999998,0.018032048,0.249999975,-3.31118269,0
8,Ba-F,mp-1080821,FM,1.9995697,0.01392007,0.249946213,-3.193186554,0
56,Ba-F-Fe,mp-14999,FM,39.9999995,0.046628606,0.714285705,-3.344179041,0
30,Ba-Fe-O,mp-1192651,FM,20.0075123,0.052965936,0.666917077,-2.15028113,0
28,Ba-Gd-O,mp-17143,FM,56.0000012,0.123006751,2.000000043,-3.605646543,0
8,Ba-F-Ir,mp-13545,FM,1.0000001,0.008524119,0.125000013,-2.771339214,0
5,As-Ba-Mn,mp-15608,FM,9.2699291,0.076216618,1.85398582,-0.664856364,0
5,Ba-Mn-P,mp-19857,FM,4.3127123,0.045606338,0.86254246,-0.761130211,0
14,Ba-O-Pd,mp-759541,FM,4.0199716,0.019465009,0.287140829,-1.518477029,0
78,Ba-O-Os,mp-559484,FM,0.1138471,8.69E-05,0.001459578,-2.52398986,0
104,Ba-Bi-Mn,mp-567518,FM,16.1030605,0.003627767,0.15483712,-0.878120967,0
44,Ba-Cu-O,mp-615789,AFM,0.228031,0.000316503,0.005182523,-1.78768827,0
28,Ba-Co-O,mp-16887,FM,20,0.041741022,0.714285714,-2.32896962,0
24,Ba-Cr-N,mp-1029843,FM,0.6705504,0.001513804,0.0279396,-0.984599864,0
28,Ba-Cr-O,mp-17520,FM,8,0.016682995,0.285714286,-2.731894101,0
18,Ba-Cu-F,mp-3879,FM,2.0000005,0.007291311,0.111111139,-3.391703464,0
6,Ba-Cu-O,mp-8790,FM,0.2550345,0.002459656,0.04250575,-2.286241101,0
12,Ba-Eu-Si,mp-1102914,FM,21.2969119,0.069453597,1.774742658,-0.461913116,0
126,Ba-Fe-O,mp-1196071,FM,140.0002329,0.070245279,1.11111296,-2.299320454,0
28,Ba-Fe-O,mp-542120,AFM,0,0,0,-2.392583402,0
40,Ba-Cl-Gd,mp-29084,FM,28.0000001,0.024375252,0.700000003,-2.872611335,0
24,Ba-Mn-O,mp-27443,FM,20,0.045849779,0.833333333,-2.562281358,0
24,Ba-Mn-S,mp-18445,FM,19.9999988,0.030001939,0.833333283,-1.862770426,0
24,Ba-Mn-Se,mp-18513,FM,20.0000004,0.026824819,0.83333335,-1.772629814,0
24,Ba-Mn-Te,mp-16905,FM,20.0000003,0.022133505,0.833333346,-1.460359265,0
49,Ba-Nb-O,mp-28675,FM,0.934292,0.001459191,0.019067184,-2.990106205,0
32,Ba-O-Re,mp-505390,FM,1.9851051,0.004044548,0.062034534,-2.740826082,0
27,Ba-O-Ru,mp-559442,FiM,2.0180199,0.006169559,0.074741478,-1.751361971,0
74,Ba-O-Ti,mp-28917,FiM,6.5323062,0.007894764,0.088274408,-3.366161981,0
21,Ba-O-Ti,mp-7733,FM,1.2895558,0.004799131,0.061407419,-3.489347678,0
22,Ba-O-U,mp-583034,AFM,0,0,0,-3.68159823,0
